tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,initial_other_choice,other_name,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_avatar_8.started,practice_p_header_8.started,practice_multiple_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,-0.03125,-0.7925925925925926,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h27.06.388,PD,2022.2.4,59.867656558648946,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.48853809999855,19.48853809999855,Felix,-0.053125,-0.8055555555555556,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h27.06.388,PD,2022.2.4,59.867656558648946,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1,-0.41875,0.11481481481481481,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h27.06.388,PD,2022.2.4,59.867656558648946,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h27.06.388,PD,2022.2.4,59.867656558648946,
1,1,0,1.5,1.5,0,0.5,0.5,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,26.541793399999733,0.13819990000047255,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,29.47756219999974,0.05565709999973478,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,36.55564979999872,0.09556669999983569,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,37.81157829999938,0.10454129999925499,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,38.745546099999046,0.05327220000071975,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,47.669182399999045,0.0630963999992673,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,49.1466322999986,0.05740519999926619,50.49810819999948,50.49810819999948,50.49810819999948,50.49810819999948,50.49810819999948,50.49810819999948,50.49810819999948,50.49810819999948,50.49810819999948,0.07426540000051318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_18h27.06.388,PD,2022.2.4,59.867656558648946,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar4.png,69.09669059999942,69.09669059999942,69.09669059999942,69.09669059999942,0.1308076000004803,Defect,Cooperate,Cooperate,Defect,0,120,0,120,0.13020833333333334,-0.6537037037037037,1,0,0,right_choice,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,78.97656489999827,0.1778398999995261,,,,,,
