tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,initial_other_choice,other_name,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,mult_mouse.x,mult_mouse.y,mult_mouse.leftButton,mult_mouse.midButton,mult_mouse.rightButton,mult_left.started,mult_left_text.started,mult_right.started,mult_right_text.started,mult_mult_2.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,-0.052083333333333336,-0.7611111111111111,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h29.09.179,PD,2022.2.4,60.10778524754521,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.309449500055052,21.309449500055052,,-0.052083333333333336,-0.7611111111111111,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h29.09.179,PD,2022.2.4,60.10778524754521,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,0.008333333333333333,-0.3537037037037037,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h29.09.179,PD,2022.2.4,60.10778524754521,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h29.09.179,PD,2022.2.4,60.10778524754521,
1,1,0,1.5,1.5,0,0.5,0.5,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,24.12597829999868,0.12408300000242889,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,25.244483800022863,0.050845300080254674,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,25.892478900030255,0.06022460001986474,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,26.380812600022182,0.04830290004611015,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,26.918477199971676,0.06271650001872331,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,27.424899899982847,0.053987700026482344,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,27.927433900069445,0.05086420010775328,28.44809309998527,28.44809309998527,28.44809309998527,28.44809309998527,28.44809309998527,28.44809309998527,28.44809309998527,28.44809309998527,28.44809309998527,28.44809309998527,28.44809309998527,0.06831890007015318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h29.09.179,PD,2022.2.4,60.10778524754521,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar2.png,29.649487600079738,29.649487600079738,29.649487600079738,29.649487600079738,0.08903859998099506,Cooperate,Defect,Cooperate,Defect,0,21,21,-0.09895833333333333,-0.6796296296296296,1,0,0,left_choice,-0.09895833333333333,-0.6796296296296296,1,0,0,32.05161249998491,32.05161249998491,32.05161249998491,32.05161249998491,32.05161249998491,,,,,,
