initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_intro_loop.thisRepN,practice_intro_loop.thisTrialN,practice_intro_loop.thisN,practice_intro_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,intro_mouse.x,intro_mouse.y,intro_mouse.leftButton,intro_mouse.midButton,intro_mouse.rightButton,intro_mouse.clicked_name,username_resp.keys,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,other_avatar,other_introduction_text_2.started,participant_avatar_other_intro_2.started,other_avatar_other_intro_2.started,continue_other_intro_text_2.started,other_intro_mouse_2.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,trial_outcome_choice_text.started,outcome_p_points_text.started,outcome_other_points_text.started,other_choice_text.started,trial_outcome_continue_text.started,trial_outcome_continue_mouse.started,participant_avatar_trial_outcome.started,other_avatar_trial_outcome.started,p_trial_outcome_total.started,o_trial_outcome_total.started,participant_avatar_outcome_scoreboard.started,other_avatar_trial_outcome_scoreboard.started,participant_trial_outcome_scoreboard_name.started,other_trial_outcome_scoreboard_name.started,total_points_scoreboard.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,C,-0.0234375,-0.7925,1,0,0,continue_intro_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0234375,-0.7925,1,0,0,continue_name_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.0453125,-0.36,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,82,82,0,123,123,0,41,41,,,,,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,,avatar4.png,14.574666959000751,14.574666959000751,14.574666959000751,14.574666959000751,0.05568799999309704,Defect,Cooperate,Cooperate,Defect,0,123,0,123,0.134375,-0.715,1,0,0,right_choice,220.24561420897953,220.24561420897953,220.24561420897953,220.24561420897953,220.24561420897953,0.0636037079966627,220.24561420897953,220.24561420897953,220.24561420897953,220.24561420897953,220.24561420897953,220.24561420897953,220.24561420897953,220.24561420897953,220.24561420897953,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,88,88,0,132,132,0,44,44,,,,,0,0,0,0,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,132,0,132,123,0.1015625,-0.6775,1,0,0,right_choice,229.4744600839913,229.4744600839913,229.4744600839913,229.4744600839913,229.4744600839913,0.04446024994831532,229.4744600839913,229.4744600839913,229.4744600839913,229.4744600839913,229.4744600839913,229.4744600839913,229.4744600839913,229.4744600839913,229.4744600839913,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,6,6,0,9,9,0,3,3,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,3,3,135,126,0.190625,-0.745,1,0,0,right_choice,232.35754670901224,232.35754670901224,232.35754670901224,232.35754670901224,232.35754670901224,0.04300570901250467,232.35754670901224,232.35754670901224,232.35754670901224,232.35754670901224,232.35754670901224,232.35754670901224,232.35754670901224,232.35754670901224,232.35754670901224,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,20,20,0,30,30,0,10,10,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,10,10,145,136,0.190625,-0.7275,1,0,0,right_choice,237.36889204196632,237.36889204196632,237.36889204196632,237.36889204196632,237.36889204196632,0.03928241599351168,237.36889204196632,237.36889204196632,237.36889204196632,237.36889204196632,237.36889204196632,237.36889204196632,237.36889204196632,237.36889204196632,237.36889204196632,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,64,64,0,96,96,0,32,32,,,,,0,0,0,0,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,32,32,177,168,0.2,-0.69,1,0,0,right_choice,240.50303983397316,240.50303983397316,240.50303983397316,240.50303983397316,240.50303983397316,0.039920207986142486,240.50303983397316,240.50303983397316,240.50303983397316,240.50303983397316,240.50303983397316,240.50303983397316,240.50303983397316,240.50303983397316,240.50303983397316,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,46,46,0,69,69,0,23,23,,,,,0,0,0,0,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Defect,0,69,177,237,0.1703125,-0.8025,1,0,0,right_choice,242.35350937501062,242.35350937501062,242.35350937501062,242.35350937501062,242.35350937501062,0.04018858302151784,242.35350937501062,242.35350937501062,242.35350937501062,242.35350937501062,242.35350937501062,242.35350937501062,242.35350937501062,242.35350937501062,242.35350937501062,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,56,56,0,84,84,0,28,28,,,,,0,0,0,0,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,56,56,233,293,0.18125,-0.7725,1,0,0,right_choice,244.0061940419837,244.0061940419837,244.0061940419837,244.0061940419837,244.0061940419837,0.04023333400255069,244.0061940419837,244.0061940419837,244.0061940419837,244.0061940419837,244.0061940419837,244.0061940419837,244.0061940419837,244.0061940419837,244.0061940419837,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,100,100,0,150,150,0,50,50,,,,,0,0,0,0,0,7,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Cooperate,100,100,333,393,0.1734375,-0.7575,1,0,0,right_choice,245.40372283395845,245.40372283395845,245.40372283395845,245.40372283395845,245.40372283395845,0.039873333007562906,245.40372283395845,245.40372283395845,245.40372283395845,245.40372283395845,245.40372283395845,245.40372283395845,245.40372283395845,245.40372283395845,245.40372283395845,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,80,80,0,120,120,0,40,40,,,,,0,0,0,0,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,120,0,453,393,0.178125,-0.7675,1,0,0,right_choice,248.68647133396007,248.68647133396007,248.68647133396007,248.68647133396007,248.68647133396007,0.04024075000779703,248.68647133396007,248.68647133396007,248.68647133396007,248.68647133396007,248.68647133396007,248.68647133396007,248.68647133396007,248.68647133396007,248.68647133396007,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,96,96,0,144,144,0,48,48,,,,,0,0,0,0,0,9,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,48,48,501,441,-0.10625,-0.725,1,0,0,left_choice,251.50559887499548,251.50559887499548,251.50559887499548,251.50559887499548,251.50559887499548,0.039857499999925494,251.50559887499548,251.50559887499548,251.50559887499548,251.50559887499548,251.50559887499548,251.50559887499548,251.50559887499548,251.50559887499548,251.50559887499548,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,40,40,0,60,60,0,20,20,,,,,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,20,20,521,461,0.1359375,-0.7275,1,0,0,right_choice,254.70782166696154,254.70782166696154,254.70782166696154,254.70782166696154,254.70782166696154,0.042311166995204985,254.70782166696154,254.70782166696154,254.70782166696154,254.70782166696154,254.70782166696154,254.70782166696154,254.70782166696154,254.70782166696154,254.70782166696154,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,68,68,0,102,102,0,34,34,,,,,0,0,0,0,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,34,34,555,495,-0.209375,-0.6875,1,0,0,left_choice,271.34011395898415,271.34011395898415,271.34011395898415,271.34011395898415,271.34011395898415,0.04058799997437745,271.34011395898415,271.34011395898415,271.34011395898415,271.34011395898415,271.34011395898415,271.34011395898415,271.34011395898415,271.34011395898415,271.34011395898415,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,8,8,0,12,12,0,4,4,,,,,0,0,0,0,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,4,4,559,499,0.0984375,-0.7025,1,0,0,right_choice,273.7414327089791,273.7414327089791,273.7414327089791,273.7414327089791,273.7414327089791,0.042793292028363794,273.7414327089791,273.7414327089791,273.7414327089791,273.7414327089791,273.7414327089791,273.7414327089791,273.7414327089791,273.7414327089791,273.7414327089791,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
Defect,Jo,54,54,0,81,81,0,27,27,,,,,0,0,0,0,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,81,559,580,-0.14375,-0.705,1,0,0,left_choice,275.3383781670127,275.3383781670127,275.3383781670127,275.3383781670127,275.3383781670127,0.04022708302363753,275.3383781670127,275.3383781670127,275.3383781670127,275.3383781670127,275.3383781670127,275.3383781670127,275.3383781670127,275.3383781670127,275.3383781670127,,2022-09-18_19h23.02.465,PD,2022.2.4,None,
