tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,mult,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,mult_avatar_o.started,mult_avatar_p.started,mult_choice_p.started,mult_choice_o.started,mult_points_p.started,mult_points_o.started,mult_left.started,mult_left_text.started,mult_right.started,mult_right_text.started,mult_mult.started,left_text_dd,right_text_dd,choice_dd,participant_points_multiplied,participant_points_total,mult_mouse.x,mult_mouse.y,mult_mouse.leftButton,mult_mouse.midButton,mult_mouse.rightButton,mult_mouse.clicked_name,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,-0.07916666666666666,-0.8166666666666667,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h00.55.464,PD,2022.2.4,59.927427884681045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.327203000000736,18.327203000000736,Felix,-0.08229166666666667,-0.7962962962962963,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h00.55.464,PD,2022.2.4,59.927427884681045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar2,0.08645833333333333,0.22407407407407406,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h00.55.464,PD,2022.2.4,59.927427884681045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h00.55.464,PD,2022.2.4,59.927427884681045,
1,1,0,1.5,1.5,0,0.5,0.5,2,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,26.707975200002693,0.08528440000009141,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,27.87351580000177,0.042782699998497264,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,28.31750319999992,0.04881079999904614,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,28.79675910000151,0.046222500001022127,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,29.15101340000183,0.047633700000005774,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,29.549540399999387,0.05442540000149165,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,29.98364760000186,0.04809190000014496,30.895796200002223,30.895796200002223,30.895796200002223,30.895796200002223,30.895796200002223,30.895796200002223,30.895796200002223,30.895796200002223,30.895796200002223,30.895796200002223,30.895796200002223,0.06434380000064266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_21h00.55.464,PD,2022.2.4,59.927427884681045,
,,,,,,,,,Cooperate,Jo,30,30,0,45,45,0,15,15,2,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar4.png,32.737220900002285,32.737220900002285,32.737220900002285,32.737220900002285,0.06850419999682344,Cooperate,Defect,Defect,Cooperate,45,0,0,0.19895833333333332,-0.6796296296296296,1,0,0,right_choice,35.37931740000204,35.37931740000204,35.37931740000204,35.37931740000204,35.37931740000204,35.37931740000204,35.37931740000204,35.37931740000204,35.37931740000204,35.37931740000204,35.37931740000204,"No
45","Yes
45x2",Y,90,90,0.14166666666666666,-0.3962962962962963,1,0,0,mult_right,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,37.547935000002326,0.13267599999744562,,2022-10-02_21h00.55.464,PD,2022.2.4,59.927427884681045,
,,,,,,,,,Cooperate,Jo,80,80,0,120,120,0,40,40,2,,,,,0,0,0,0,0,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,40,40,40,-0.14270833333333333,-0.6685185185185185,1,0,0,left_choice,44.850736100001086,44.850736100001086,44.850736100001086,44.850736100001086,44.850736100001086,44.850736100001086,44.850736100001086,44.850736100001086,44.850736100001086,44.850736100001086,44.850736100001086,"Yes
40x1.8","No
40",Y,72.0,162.0,-0.15729166666666666,-0.35,1,0,0,mult_left,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,60.21392570000171,0.0965500999991491,,2022-10-02_21h00.55.464,PD,2022.2.4,59.927427884681045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,13,13,53,-0.15729166666666666,-0.7518518518518519,1,0,0,left_choice,77.4224729000016,77.4224729000016,77.4224729000016,77.4224729000016,77.4224729000016,77.4224729000016,77.4224729000016,77.4224729000016,77.4224729000016,77.4224729000016,77.4224729000016,"Yes
13x1.8","No
13",Y,23.400000000000002,185.4,-0.109375,-0.31851851851851853,1,0,0,mult_left,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,98.24914870000066,0.07424560000072233,,,,,,
