tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,left_text_dd,right_text_dd,choice_dd,participant_points_multiplied,participant_points_total,mult_mouse.x,mult_mouse.y,mult_mouse.leftButton,mult_mouse.midButton,mult_mouse.rightButton,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,mult_avatar_o.started,mult_avatar_p.started,mult_choice_p.started,mult_choice_o.started,mult_points_p.started,mult_points_o.started,mult_left.started,mult_left_text.started,mult_right.started,mult_right_text.started,mult_mult.started,mult_mouse.clicked_name,p_total_text.started,o_total_text.started,participant_avatar_scoreboard.started,p_name_text.started,o_name_text.started,other_avatar_scoreboard.started,name_header.started,total_point_header.started,scoreboard_cont_text.started,scoreabord_mouse.started,scoreboard_intro_text.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,-0.08645833333333333,-0.8148148148148148,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.787491100025363,19.787491100025363,Felix,-0.08333333333333333,-0.812962962962963,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.046875,-0.6925925925925925,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
1,1,0,1.5,1.5,0,0.5,0.5,2,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,24.047873300034553,0.08274960005655885,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,24.652652900083922,0.05769919999875128,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,25.149800300016068,0.05184169998392463,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,25.692598200053908,0.04639769997447729,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,25.85016810009256,0.04210850002709776,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,26.002158600022085,0.04655750002712011,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,26.149132400052622,0.03722539998125285,26.301353799994104,26.301353799994104,26.301353799994104,26.301353799994104,26.301353799994104,26.301353799994104,26.301353799994104,26.301353799994104,26.301353799994104,26.301353799994104,26.301353799994104,0.048239100025966763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
,,,,,,,,,Defect,Kendall,96,96,0,144,144,0,48,48,,,,,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar3.png,26.437079600058496,26.437079600058496,26.437079600058496,26.437079600058496,0.0491130999289453,Cooperate,Defect,Cooperate,Defect,0,144,144,-0.09375,-0.7518518518518519,1,0,0,left_choice,"Yes
0x2","No
0",Z,0,0,-0.09375,-0.7518518518518519,0,0,0,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,28.49855470005423,0.12487950001377612,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
,,,,,,,,,Defect,Kendall,12,12,0,18,18,0,6,6,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,18,0,144,0.134375,-0.7481481481481481,1,0,0,right_choice,"No
18","Yes
18x2",N,18,18,-0.109375,-0.37777777777777777,1,0,0,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,63.79704800003674,0.07485370000358671,55.90438730001915,55.90438730001915,55.90438730001915,55.90438730001915,55.90438730001915,55.90438730001915,59.82805130002089,59.82805130002089,59.82805130002089,59.82805130002089,59.82805130002089,mult_left,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
,,,,,,,,,Defect,Kendall,54,54,0,81,81,0,27,27,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,27,27,171,0.11458333333333333,-0.7351851851851852,1,0,0,right_choice,"No
27","Yes
27x2.2",N,27,45,-0.13020833333333334,-0.412962962962963,1,0,0,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,70.31282270001248,0.06809880002401769,65.48742140003014,65.48742140003014,65.48742140003014,65.48742140003014,65.48742140003014,65.48742140003014,69.4396627000533,69.4396627000533,69.4396627000533,69.4396627000533,69.4396627000533,mult_left,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
,,,,,,,,,Defect,Kendall,56,56,0,84,84,0,28,28,,,,,0,0,0,0,0,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Cooperate,Defect,0,84,255,0.15625,-0.8037037037037037,1,0,0,right_choice,"No
0","Yes
0x2.4000000000000004",Z,0,45,0.15625,-0.8037037037037037,0,0,0,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,71.99222880008165,0.07234210008755326,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
,,,,,,,,,Defect,Kendall,6,6,0,9,9,0,3,3,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,9,0,255,0.12395833333333334,-0.7574074074074074,1,0,0,right_choice,"Yes
9x2.4000000000000004","No
9",N,9,54,0.18541666666666667,-0.3574074074074074,1,0,0,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,79.2540610000724,0.11906090006232262,73.84471050009597,73.84471050009597,73.84471050009597,73.84471050009597,73.84471050009597,73.84471050009597,77.78972350002732,77.78972350002732,77.78972350002732,77.78972350002732,77.78972350002732,mult_right,,,,,,,,,,,,,2022-10-15_18h43.08.874,PD,2022.2.4,59.95333233369406,
