initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_intro_loop.thisRepN,practice_intro_loop.thisTrialN,practice_intro_loop.thisN,practice_intro_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,intro_mouse.x,intro_mouse.y,intro_mouse.leftButton,intro_mouse.midButton,intro_mouse.rightButton,intro_mouse.clicked_name,username_resp.keys,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,other_avatar,other_introduction_text_2.started,participant_avatar_other_intro_2.started,other_avatar_other_intro_2.started,continue_other_intro_text_2.started,other_intro_mouse_2.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,trial_outcome_choice_text.started,outcome_p_points_text.started,outcome_other_points_text.started,other_choice_text.started,trial_outcome_continue_text.started,trial_outcome_continue_mouse.started,participant_avatar_trial_outcome.started,other_avatar_trial_outcome.started,p_trial_outcome_total.started,o_trial_outcome_total.started,participant_avatar_outcome_scoreboard.started,other_avatar_trial_outcome_scoreboard.started,participant_trial_outcome_scoreboard_name.started,other_trial_outcome_scoreboard_name.started,total_points_scoreboard.started,p_total_text.started,o_total_text.started,participant_avatar_scoreboard.started,participant_name_text.started,other_name_text.started,other_avatar_scoreboard.started,name_header.started,total_point_header.started,scoreboard_cont_text.started,scoreabord_mouse.started,scoreboard_intro_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,B,-0.16875,-0.8,1,0,0,continue_intro_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16875,-0.8,1,0,0,continue_name_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1,-0.4140625,0.2625,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,16,16,0,24,24,0,8,8,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,24,0,184,163,-0.1296875,-0.79,1,0,0,left_choice,39.383790542022325,39.383790542022325,39.383790542022325,39.383790542022325,39.383790542022325,0.04080066701862961,39.383790542022325,39.383790542022325,39.383790542022325,39.383790542022325,39.383790542022325,39.383790542022325,39.383790542022325,39.383790542022325,39.383790542022325,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,26,26,0,39,39,0,13,13,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,13,13,197,176,-0.15,-0.7525,1,0,0,left_choice,42.43500179203693,42.43500179203693,42.43500179203693,42.43500179203693,42.43500179203693,0.0417415410047397,42.43500179203693,42.43500179203693,42.43500179203693,42.43500179203693,42.43500179203693,42.43500179203693,42.43500179203693,42.43500179203693,42.43500179203693,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,30,30,0,45,45,0,15,15,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,15,15,212,191,-0.165625,-0.79,1,0,0,left_choice,44.01533120800741,44.01533120800741,44.01533120800741,44.01533120800741,44.01533120800741,0.03810262499609962,44.01533120800741,44.01533120800741,44.01533120800741,44.01533120800741,44.01533120800741,44.01533120800741,44.01533120800741,44.01533120800741,44.01533120800741,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,82,82,0,123,123,0,41,41,,,,,0,0,0,0,0,8,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,41,41,253,232,-0.15625,-0.7525,0,0,0,left_choice,45.91275570803555,45.91275570803555,45.91275570803555,45.91275570803555,45.91275570803555,0.0369989579776302,45.91275570803555,45.91275570803555,45.91275570803555,45.91275570803555,45.91275570803555,45.91275570803555,45.91275570803555,45.91275570803555,45.91275570803555,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,20,20,0,30,30,0,10,10,,,,,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,10,10,263,242,-0.1546875,-0.7775,0,0,0,left_choice,47.59715591702843,47.59715591702843,47.59715591702843,47.59715591702843,47.59715591702843,0.03724437498021871,47.59715591702843,47.59715591702843,47.59715591702843,47.59715591702843,47.59715591702843,47.59715591702843,47.59715591702843,47.59715591702843,47.59715591702843,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,80,80,0,120,120,0,40,40,,,,,0,0,0,0,0,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,120,263,362,-0.15625,-0.8,1,0,0,left_choice,49.26552591699874,49.26552591699874,49.26552591699874,49.26552591699874,49.26552591699874,0.03929579199757427,49.26552591699874,49.26552591699874,49.26552591699874,49.26552591699874,49.26552591699874,49.26552591699874,49.26552591699874,49.26552591699874,49.26552591699874,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,64,64,0,96,96,0,32,32,,,,,0,0,0,0,0,11,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,96,0,359,362,-0.1625,-0.7575,1,0,0,left_choice,50.70024087501224,50.70024087501224,50.70024087501224,50.70024087501224,50.70024087501224,0.04020091699203476,50.70024087501224,50.70024087501224,50.70024087501224,50.70024087501224,50.70024087501224,50.70024087501224,50.70024087501224,50.70024087501224,50.70024087501224,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,40,40,0,60,60,0,20,20,,,,,0,0,0,0,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,60,359,422,-0.1578125,-0.79,1,0,0,left_choice,52.234153583005536,52.234153583005536,52.234153583005536,52.234153583005536,52.234153583005536,0.0405462920316495,52.234153583005536,52.234153583005536,52.234153583005536,52.234153583005536,52.234153583005536,52.234153583005536,52.234153583005536,52.234153583005536,52.234153583005536,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,46,46,0,69,69,0,23,23,,,,,0,0,0,0,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,69,0,428,422,-0.1703125,-0.66,1,0,0,left_choice,53.65192350000143,53.65192350000143,53.65192350000143,53.65192350000143,53.65192350000143,0.040599709027446806,53.65192350000143,53.65192350000143,53.65192350000143,53.65192350000143,53.65192350000143,53.65192350000143,53.65192350000143,53.65192350000143,53.65192350000143,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,44,44,0,66,66,0,22,22,,,,,0,0,0,0,0,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,66,428,488,-0.1796875,-0.69,1,0,0,left_choice,55.12385508301668,55.12385508301668,55.12385508301668,55.12385508301668,55.12385508301668,0.03993999998783693,55.12385508301668,55.12385508301668,55.12385508301668,55.12385508301668,55.12385508301668,55.12385508301668,55.12385508301668,55.12385508301668,55.12385508301668,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
