tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_intro_loop.thisRepN,practice_intro_loop.thisTrialN,practice_intro_loop.thisN,practice_intro_loop.thisIndex,order,intro_key.started,intro_key.keys,intro_key.rt,name_key.started,username_resp.keys,name_key.keys,name_key.rt,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,intro2_key.started,intro2_key.keys,intro2_key.rt,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_top_left1_3.started,practice_topleft2_3.started,practice_bottom_left1_3.started,practice_bottom_left2_3.started,practice_top_right1_3.started,practice_top_right2_3.started,practice_bottom_right1_3.started,practice_bottom_right2_3.started,practice_topright_header_3.started,practice_bottomtop_header_3.started,practice_participant_header_3.started,practice_other_header_3.started,practice_avatar_trial_3.started,practice_bottombottom_header_3.started,practice_topleft_header_3.started,practice_example_text_3.started,practice_trial_intro1_cont.started,practice_trial_intro1_mouse.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_top_left1_2.started,practice_topleft2_2.started,practice_bottom_left1_2.started,practice_bottom_left2_2.started,practice_top_right1_2.started,practice_top_right2_2.started,practice_bottom_right1_2.started,practice_bottom_right2_2.started,practice_topright_header_2.started,practice_bottomtop_header_2.started,practice_participant_header_2.started,practice_other_header_2.started,practice_avatar_trial_2.started,practice_bottombottom_header_2.started,practice_topleft_header_2.started,practice_example_text_2.started,practice_trial_intro2_cont.started,practice_trial_intro2_mouse.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_top_left1_4.started,practice_topleft2_4.started,practice_bottom_left1_4.started,practice_bottom_left2_4.started,practice_top_right1_4.started,practice_top_right2_4.started,practice_bottom_right1_4.started,practice_bottom_right2_4.started,practice_topright_header_4.started,practice_bottomtop_header_4.started,practice_participant_header_4.started,practice_other_header_4.started,practice_avatar_trial_4.started,practice_bottombottom_header_4.started,practice_topleft_header_4.started,practice_example_text_4.started,practice_trial_intro1_cont_2.started,practice_trial_intro1_mouse_2.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_top_left1_5.started,practice_topleft2_5.started,practice_bottom_left1_5.started,practice_bottom_left2_5.started,practice_top_right1_5.started,practice_top_right2_5.started,practice_bottom_right1_5.started,practice_bottom_right2_5.started,practice_topright_header_5.started,practice_bottomtop_header_5.started,practice_participant_header_5.started,practice_other_header_5.started,practice_avatar_trial_5.started,practice_bottombottom_header_5.started,practice_topleft_header_5.started,practice_example_text_5.started,practice_trial_intro1_cont_3.started,practice_trial_intro1_mouse_3.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_top_left1_6.started,practice_topleft2_6.started,practice_bottom_left1_6.started,practice_bottom_left2_6.started,practice_top_right1_6.started,practice_top_right2_6.started,practice_bottom_right1_6.started,practice_bottom_right2_6.started,practice_topright_header_6.started,practice_bottomtop_header_6.started,practice_participant_header_6.started,practice_other_header_6.started,practice_avatar_trial_6.started,practice_bottombottom_header_6.started,practice_topleft_header_6.started,practice_example_text_6.started,practice_trial_intro1_cont_4.started,practice_trial_intro1_mouse_4.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_top_left1_7.started,practice_topleft2_7.started,practice_bottom_left1_7.started,practice_bottom_left2_7.started,practice_top_right1_7.started,practice_top_right2_7.started,practice_bottom_right1_7.started,practice_bottom_right2_7.started,practice_topright_header_7.started,practice_bottomtop_header_7.started,practice_participant_header_7.started,practice_other_header_7.started,practice_avatar_trial_7.started,practice_bottombottom_header_7.started,practice_topleft_header_7.started,practice_example_text_7.started,practice_trial_intro1_cont_5.started,practice_trial_intro1_mouse_5.started,practice_top_left_8.started,practice_top_right_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_top_left1_8.started,practice_topleft2_8.started,practice_bottom_left1_8.started,practice_bottom_left2_8.started,practice_top_right1_8.started,practice_top_right2_8.started,practice_bottom_right1_8.started,practice_bottom_right2_8.started,practice_topright_header_8.started,practice_bottomtop_header_8.started,practice_participant_header_8.started,practice_other_header_8.started,practice_avatar_trial_8.started,practice_bottombottom_header_8.started,practice_topleft_header_8.started,practice_example_text_8.started,practice_trial_intro1_cont_6.started,practice_trial_intro1_mouse_6.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,D,20.059375099954195,space,2.55555639998056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
,,,,,,,,,,,,,,,,24.64148109999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
,,,,,,,,,,,,,,,,,,space,0.14519920002203435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
,,,,,,,,,,,,,,,,,,,,avatar5,0.00625,-0.37777777777777777,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
,,,,,,,,,,,,,,,,,,,,,,,,,,30.075016099959612,space,1.130224399967119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
1,1,0,1.5,1.5,0,0.5,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,31.40350140002556,0.16753720003180206,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,33.031833500019275,0.06687280000187457,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,33.49531239992939,0.05677769996691495,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,33.950914199929684,0.05407430010382086,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,34.449136000010185,0.053937199991196394,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,34.96225919993594,0.05456489999778569,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,35.456737100030296,0.05536510003730655,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
None,None,None,None,None,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,36.23208149999846,0.06176520010922104,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,37.937477299943566,0.07103979995008558,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,38.74592829996254,0.05574219999834895,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,39.37480109999888,0.055843899957835674,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,39.83787619997747,0.05520869989413768,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,40.405855800025165,0.07135039998684078,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,41.112388300010934,0.0701807999284938,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
None,None,None,None,None,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,42.24443419999443,0.0336445999564603,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,45.86980789992958,0.03385460004210472,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,46.47738950001076,0.032449500053189695,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,46.99902679992374,0.03297950001433492,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,47.5301988000283,0.031985600013285875,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,48.8400400999235,0.03418039996176958,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,49.32699390000198,0.03404119994957,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
None,None,None,None,None,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,49.90322580002248,0.03629790002014488,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,50.411869399948046,0.03306629997678101,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,50.54170569998678,0.023781599942594767,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,50.782030100002885,0.06029489997308701,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,50.95572440000251,0.03218950005248189,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,51.094930100021884,0.022600699914619327,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,51.30137659993488,0.03673980000894517,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
None,None,None,None,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,51.7054075000342,0.03491209994535893,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,52.196194499963894,0.032989000086672604,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,52.34000919992104,0.022428199998103082,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,52.5151196999941,0.03309119993355125,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,52.650569899939,0.03238069999497384,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,52.81330119993072,0.03430249996017665,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,52.956634899950586,0.03360379999503493,,2022-10-02_00h53.26.290,PD,2022.2.4,60.01356307071888,
