tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,mult_avatar_o.started,mult_avatar_p.started,mult_choice_p.started,mult_choice_o.started,mult_points_p.started,mult_points_o.started,mult_left.started,mult_left_text.started,mult_right.started,mult_right_text.started,mult_mult.started,left_text_dd,right_text_dd,choice_dd,participant_points_multiplied,participant_points_total,mult_mouse.x,mult_mouse.y,mult_mouse.leftButton,mult_mouse.midButton,mult_mouse.rightButton,mult_mouse.clicked_name,feedback_scoreboard_o.started,feedback_scoreboard_p.started,feedback_avatar_o.started,feedback_avatar_p.started,feedback_choice_p.started,feedback_choice_o.started,feedback_points_p.started,feedback_points_o.started,feedback_total_p.started,feedback_total_o.started,feedback_name_p.started,feedback_name_o.started,feedback_scoreboard.started,feedback_cont.started,feedback_mouse.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,-0.057291666666666664,-0.7981481481481482,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-04_00h05.21.140,PD,2022.2.4,60.03492832167757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.047198300002492,23.047198300002492,,-0.057291666666666664,-0.7981481481481482,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-04_00h05.21.140,PD,2022.2.4,60.03492832167757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.05520833333333333,-0.5148148148148148,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-04_00h05.21.140,PD,2022.2.4,60.03492832167757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-04_00h05.21.140,PD,2022.2.4,60.03492832167757,
1,1,0,1.5,1.5,0,0.5,0.5,2,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,26.061075699995854,0.12323960001231171,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,27.133260500006145,0.05694319999020081,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,27.49887710000621,0.05131939999409951,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,27.621165999997174,0.03352509999240283,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,27.77721709999605,0.03849070001160726,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,27.954794699995546,0.05310319999989588,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,28.33986370000639,0.050829400002839975,28.830097800004296,28.830097800004296,28.830097800004296,28.830097800004296,28.830097800004296,28.830097800004296,28.830097800004296,28.830097800004296,28.830097800004296,28.830097800004296,28.830097800004296,0.0684299000131432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-04_00h05.21.140,PD,2022.2.4,60.03492832167757,
,,,,,,,,,Cooperate,Jo,46,46,0,69,69,0,23,23,,,,,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1.png,29.367799500003457,29.367799500003457,29.367799500003457,29.367799500003457,0.07325000000128057,Cooperate,Defect,Defect,Cooperate,69,0,0,0.18125,-0.6907407407407408,1,0,0,right_choice,33.188948800001526,33.188948800001526,33.188948800001526,33.188948800001526,33.188948800001526,33.188948800001526,37.10592080000788,37.10592080000788,37.10592080000788,37.10592080000788,37.10592080000788,"No
69","Yes
69x2",Y,138,138,0.153125,-0.387037037037037,1,0,0,mult_right,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,47.10014670000237,5.113819699996384,,2022-10-04_00h05.21.140,PD,2022.2.4,60.03492832167757,
,,,,,,,,,Cooperate,Jo,14,14,0,21,21,0,7,7,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,21,21,-0.13020833333333334,-0.6518518518518519,1,0,0,left_choice,,,,,,,,,,,,"No
0","Yes
0x1.8",Z,0,138,-0.13020833333333334,-0.6518518518518519,1,0,0,,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,55.31404379999731,0.0710996999987401,,2022-10-04_00h05.21.140,PD,2022.2.4,60.03492832167757,
,,,,,,,,,Cooperate,Jo,68,68,0,102,102,0,34,34,,,,,0,0,0,0,0,2,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,102,0,21,0.14166666666666666,-0.7203703703703703,1,0,0,right_choice,61.404300299996976,61.404300299996976,61.404300299996976,61.404300299996976,61.404300299996976,61.404300299996976,65.32925840000098,65.32925840000098,65.32925840000098,65.32925840000098,65.32925840000098,"Yes
102x1.8","No
102",Y,183.6,321.6,-0.13125,-0.30185185185185187,1,0,0,mult_left,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,75.59222410000802,5.079331200002343,,2022-10-04_00h05.21.140,PD,2022.2.4,60.03492832167757,
