tl_p_intro,tl_o_intro,bl_p_intro,bl_o_intro,tr_p_intro,tr_o_intro,br_p_intro,br_o_intro,mult_intro,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,initial_other_choice,other_name,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,order,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,name_text.started,type_name.started,type_name.text,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,practice_avatar_1.started,practice_top_left_1.started,practice_top_right_1.started,practice_bottom_left_1.started,practice_bottom_right_1.started,practice_points_tl_p_1.started,practice_points_tl_o_1.started,practice_points_bl_p_1.started,practice_points_bl_o_1.started,practice_points_tr_p_1.started,practice_points_tr_o_1.started,practice_points_br_p_1.started,practice_points_br_o_1.started,practice_tr_header_1.started,practice_bt_header_1.started,practice_p_header_1.started,practice_o_header_1.started,practice_bb_header_1.started,practice_tl_header_1.started,practice_text_1.started,practice_cont_1.started,practice_mouse_1.started,practice_avatar_2.started,practice_top_left_2.started,practice_top_right_2.started,practice_bottom_left_2.started,practice_bottom_right_2.started,practice_points_tl_p_2.started,practice_points_tl_o_2.started,practice_points_bl_p_2.started,practice_points_bl_o_2.started,practice_points_tr_p_2.started,practice_points_tr_o_2.started,practice_points_br_p_2.started,practice_points_br_o_2.started,practice_tr_header_2.started,practice_bt_header_2.started,practice_p_header_2.started,practice_o_header_2.started,practice_bb_header_2.started,practice_tl_header_2.started,practice_text_2.started,practice_cont_2.started,practice_mouse_2.started,practice_avatar_3.started,practice_top_left_3.started,practice_top_right_3.started,practice_bottom_left_3.started,practice_bottom_right_3.started,practice_points_tl_p_3.started,practice_points_tl_o_3.started,practice_points_bl_p_3.started,practice_points_bl_o_3.started,practice_points_tr_p_3.started,practice_points_tr_o_3.started,practice_points_br_p_3.started,practice_points_br_o_3.started,practice_tr_header_3.started,practice_bt_header_3.started,practice_p_header_3.started,practice_o_header_3.started,practice_bb_header_3.started,practice_tl_header_3.started,practice_text_3.started,practice_cont_3.started,practice_mouse_3.started,practice_avatar_4.started,practice_top_left_4.started,practice_top_right_4.started,practice_bottom_left_4.started,practice_bottom_right_4.started,practice_points_tl_p_4.started,practice_points_tl_o_4.started,practice_points_bl_p_4.started,practice_points_bl_o_4.started,practice_points_tr_p_4.started,practice_points_tr_o_4.started,practice_points_br_p_4.started,practice_points_br_o_4.started,practice_tr_header_4.started,practice_bt_header_4.started,practice_p_header_4.started,practice_o_header_4.started,practice_bb_header_4.started,practice_tl_header_4.started,practice_text_4.started,practice_cont_4.started,practice_mouse_4.started,practice_avatar_trial_5.started,practice_top_left_5.started,practice_top_right_5.started,practice_bottom_left_5.started,practice_bottom_right_5.started,practice_points_tl_p_5.started,practice_points_tl_o_5.started,practice_points_bl_p_5.started,practice_points_bl_o_5.started,practice_points_tr_p_5.started,practice_points_tr_o_5.started,practice_points_br_p_5.started,practice_points_br_o_5.started,practice_tr_header_5.started,practice_bt_header_5.started,practice_p_header_5.started,practice_o_header_5.started,practice_bb_header_5.started,practice_tl_header_5.started,practice_text_5.started,practice_cont_5.started,practice_mouse_5.started,practice_avatar_6.started,practice_top_left_6.started,practice_top_right_6.started,practice_bottom_left_6.started,practice_bottom_right_6.started,practice_points_tl_p_6.started,practice_points_tl_o_6.started,practice_points_bl_p_6.started,practice_points_bl_o_6.started,practice_points_tr_p_6.started,practice_points_tr_o_6.started,practice_points_br_p_6.started,practice_points_br_o_6.started,practice_tr_header_6.started,practice_bt_header_6.started,practice_p_header_6.started,practice_o_header_6.started,practice_bb_header_6.started,practice_tl_header_6.started,practice_text_6.started,practice_cont_6.started,practice_mouse_6.started,practice_avatar_7.started,practice_top_left_7.started,practice_top_right_7.started,practice_bottom_left_7.started,practice_bottom_right_7.started,practice_points_tl_p_7.started,practice_points_tl_o_7.started,practice_points_bl_p_7.started,practice_points_bl_o_7.started,practice_points_tr_p_7.started,practice_points_tr_o_7.started,practice_points_br_p_7.started,practice_points_br_o_7.started,practice_tr_header_7.started,practice_bt_header_7.started,practice_p_header_7.started,practice_other_header_7.started,practice_bb_header_7.started,practice_tl_header_7.started,practice_text_7.started,practice_cont_7.started,practice_mouse_7.started,practice_choice_p_8.started,practice_choice_o_8.started,practice_points_p_8.started,practice_points_o_8.started,practice_bottom_left_8.started,practice_bottom_right_8.started,practice_bl_text_8.started,practice_br_text_8.started,practice_mult_8.started,practice_text_8.started,practice_cont_8.started,practice_mouse_8.started,other_avatar,o_intro_text.started,o_intro_avatar_p.started,o_intro_avatar_o.started,o_intro_cont.started,o_intro_mouse.started,left_text,right_text,choice_pd,other_choice,participant_points,other_points,other_points_total,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.clicked_name,mult_avatar_o.started,mult_avatar_p.started,mult_choice_p.started,mult_choice_o.started,mult_points_p.started,mult_points_o.started,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,-0.022916666666666665,-0.8,1,0,0,start_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h27.22.868,PD,2022.2.4,59.721102441479964,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.588976899976842,23.588976899976842,,-0.022916666666666665,-0.8,1,0,0,name_cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h27.22.868,PD,2022.2.4,59.721102441479964,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar5,-0.023958333333333335,-0.5981481481481481,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h27.22.868,PD,2022.2.4,59.721102441479964,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h27.22.868,PD,2022.2.4,59.721102441479964,
1,1,0,1.5,1.5,0,0.5,0.5,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,26.03763160004746,0.06782080000266433,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,26.952483900007792,0.03448699996806681,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,27.433334900066257,0.038190699997358024,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,27.707635900005698,0.037987699965015054,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,28.040857800049707,0.04137979994993657,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,28.3071334999986,0.040089699905365705,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,28.645107200019993,0.03374199999962002,32.38296169997193,32.38296169997193,32.38296169997193,32.38296169997193,32.38296169997193,32.38296169997193,32.38296169997193,32.38296169997193,32.38296169997193,32.38296169997193,32.38296169997193,0.06893019995186478,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-15_17h27.22.868,PD,2022.2.4,59.721102441479964,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar6.png,38.46454249997623,38.46454249997623,38.46454249997623,38.46454249997623,0.11031610006466508,Defect,Cooperate,Cooperate,Cooperate,70,70,70,0.07395833333333333,-0.7462962962962963,1,0,0,right_choice,41.29445779998787,41.29445779998787,41.29445779998787,41.29445779998787,41.29445779998787,41.29445779998787,,,,,,
